행정구역(시도)별,2021.12,2021.12,2021.12
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,"51,638,809","25,746,684","25,892,125"
서울특별시,"9,509,458","4,618,040","4,891,418"
부산광역시,"3,350,380","1,639,044","1,711,336"
대구광역시,"2,385,412","1,175,632","1,209,780"
인천광역시,"2,948,375","1,476,373","1,472,002"
광주광역시,"1,441,611","713,015","728,596"
대전광역시,"1,452,251","724,626","727,625"
울산광역시,"1,121,592","576,217","545,375"
세종특별자치시,"371,895","185,678","186,217"
경기도,"13,565,450","6,827,298","6,738,152"
강원도,"1,538,492","774,332","764,160"
충청북도,"1,597,427","810,672","786,755"
충청남도,"2,119,257","1,083,366","1,035,891"
전라북도,"1,786,855","888,994","897,861"
전라남도,"1,832,803","922,221","910,582"
경상북도,"2,626,609","1,323,661","1,302,948"
경상남도,"3,314,183","1,668,338","1,645,845"
제주특별자치도,"676,759","339,177","337,582"